photo_number,original_filename,new_path,identified_type,identified_breed,confidence,note
1,027608d3-78c7-46ed-9114-d3f10c2c3adf.jfif,goats/boer/boer-01.jfif,goats,boer,high,
2,076eaa32-546e-4c48-aca8-36439bfbb5dd.jfif,cattle/friesian-holstein/friesian-holstein-01.jfif,cattle,friesian-holstein,high,
3,0a272ee4-e4ea-4947-80e2-43dfb0876acc.jfif,sheep/hampshire/hampshire-01.jfif,sheep,hampshire,medium-high,
4,13215a7d-cb88-4d4a-ac71-57468162c5b3.jfif,cattle/brahman/brahman-01.jfif,cattle,brahman,high,
5,1425f928-24c8-400e-8369-ed529eb0642d.jfif,cattle/jersey/jersey-01.jfif,cattle,jersey,high,
6,15137ca9-da8b-4786-a655-e645bc957093.jfif,goats/kalahari-red/kalahari-red-01.jfif,goats,kalahari-red,medium-high,
7,186a7324-f64f-4936-8139-358846653d3f.jfif,sheep/dorper/dorper-01.jfif,sheep,dorper,high,
8,18b2d86c-4c8d-447f-adbc-74e0ba9cdadd.jfif,cattle/sahiwal/sahiwal-01.jfif,cattle,sahiwal,high,
9,19a2cb1b-a0db-4b0e-ba3d-cfec954b9d5c.jfif,sheep/hampshire/hampshire-02.jfif,sheep,hampshire,medium-high,
10,27aec52f-f4a3-45ef-8d61-73c1590f1c86.jfif,sheep/hampshire/hampshire-03.jfif,sheep,hampshire,medium,
11,2d2b5673-4a9d-40f5-a6db-20d7ecb3c162.jfif,cattle/sahiwal/sahiwal-02.jfif,cattle,sahiwal,high,
12,2dea4099-accd-4a08-a586-013d844a6dc0.jfif,cattle/sahiwal/sahiwal-03.jfif,cattle,sahiwal,high,
13,3d1803d5-4366-4a1e-8f41-df57f066636a.jfif,cattle/fleckvieh/fleckvieh-01.jfif,cattle,fleckvieh,high,
14,4556f214-b8d6-4d7b-ae47-aa62fcb55233.jfif,goats/boer/boer-02.jfif,goats,boer,high,
15,4ae030f6-5f96-49c3-9693-a250f6c5f1f4.jfif,cattle/sahiwal/sahiwal-04.jfif,cattle,sahiwal,medium-high,
16,54c1f25d-bdf1-47e2-8534-7bc4b432a0a9.jfif,sheep/red-maasai/red-maasai-01.jfif,sheep,red-maasai,medium-high,
17,58e1f6b3-c0b5-4fc9-8e56-66ef0d351387.jfif,cattle/friesian-holstein/friesian-holstein-02.jfif,cattle,friesian-holstein,high,
18,5a765fa5-3e28-4dea-bab9-92605701799b.jfif,goats/boer/boer-03.jfif,goats,boer,high,
19,5d7cce2d-fc7b-4a54-99ff-483b1c0a1f89.jfif,goats/boer/boer-04.jfif,goats,boer,high,
20,5e04f880-0ae4-47f0-a293-11cdc7ffbef6.jfif,sheep/dorper/dorper-02.jfif,sheep,dorper,high,
21,5e12d363-9fc8-44d7-8f8c-c0667d0ab6c7.jfif,sheep/dorper/dorper-03.jfif,sheep,dorper,high,
22,63f97629-6be7-459f-bd96-d567d8f14f67.jfif,cattle/sahiwal/sahiwal-05.jfif,cattle,sahiwal,high,
23,64ca65d4-7470-4c8f-be33-60e5aad7bdfe.jfif,cattle/sahiwal/sahiwal-06.jfif,cattle,sahiwal,medium-high,
24,67029dd7-a031-4f67-b10a-9d3f68ad2120.jfif,cattle/fleckvieh/fleckvieh-02.jfif,cattle,fleckvieh,high,
25,6719bccc-a844-440b-a532-278f5f309b28.jfif,cattle/fleckvieh/fleckvieh-03.jfif,cattle,fleckvieh,high,
26,82cd21d3-5298-4721-953c-c03cc412ae60.jfif,sheep/dorper/dorper-04.jfif,sheep,dorper,high,
27,8816bd0b-d273-43e6-abea-8df1a4d59c50 (1).jfif,sheep/red-maasai/red-maasai-02.jfif,sheep,red-maasai,high,
28,8816bd0b-d273-43e6-abea-8df1a4d59c50.jfif,sheep/red-maasai/red-maasai-03-duplicate.jfif,sheep,red-maasai,high,Exact duplicate of photo 27
29,8a068314-f6a5-44a2-9d66-e3657eb6a826.jfif,sheep/dorper/dorper-05.jfif,sheep,dorper,high,
30,8c47afdf-9307-48b8-ada7-a47507e39254.jfif,cattle/sahiwal/sahiwal-07.jfif,cattle,sahiwal,high,
31,9094d69d-12cc-441e-8b2b-e6b7e4edb7b2.jfif,cattle/ayrshire/ayrshire-01.jfif,cattle,ayrshire,high,
32,917822a8-1479-4b08-a953-4ca00a145607.jfif,cattle/sahiwal/sahiwal-08.jfif,cattle,sahiwal,high,
33,936bd6f5-0cda-46eb-aeb6-077dd3988fdf.jfif,sheep/red-maasai/red-maasai-04.jfif,sheep,red-maasai,high,
34,9460d8b5-2bf5-4281-acf9-982b21b6dcb1.jfif,cattle/brahman/brahman-02.jfif,cattle,brahman,high,
35,9ab9c85c-f86e-4647-96ad-697c8285ea9f.jfif,sheep/dorper/dorper-06.jfif,sheep,dorper,high,
36,9b74b3fc-9c28-43a5-9f6c-3a57b9394c02.jfif,cattle/sahiwal/sahiwal-09.jfif,cattle,sahiwal,high,
37,a2bc4798-8f07-491a-9eae-73529ffe8027.jfif,cattle/fleckvieh/fleckvieh-04.jfif,cattle,fleckvieh,high,
38,a4fb70c1-1b63-46f5-baef-01da76b5395b.jfif,cattle/boran/boran-01.jfif,cattle,boran,high,
39,a8688f21-875c-4388-80d6-ce37250f78e5.jfif,cattle/brahman/brahman-03.jfif,cattle,brahman,high,
40,a8f76a90-0464-4d81-a56e-1ed1e11c32e9.jfif,cattle/ayrshire/ayrshire-02.jfif,cattle,ayrshire,high,
41,adf503db-c896-4834-a220-cf71e787ccb0.jfif,cattle/brahman/brahman-04.jfif,cattle,brahman,high,
42,b3752b0d-d5c3-4a11-8316-11ae91ca45b0.jfif,sheep/red-maasai/red-maasai-05.jfif,sheep,red-maasai,medium,
43,b38525e2-3917-4e22-9987-969b2375e74c.jfif,sheep/dorper/dorper-07.jfif,sheep,dorper,high,
44,b5f9286b-dfe3-46e2-af18-a45e8fb7a79d.jfif,cattle/girolando/girolando-01.jfif,cattle,girolando,medium-high,
45,b6a991f2-fd67-4eb1-8966-bb72767ef52b.jfif,sheep/dorper/dorper-08.jfif,sheep,dorper,high,
46,b930297e-e5af-40fb-b5e3-ff184e4d99f1.jfif,sheep/dorper/dorper-09.jfif,sheep,dorper,high,
47,c58df3ef-243a-40a3-a74d-64786296627a.jfif,cattle/fleckvieh/fleckvieh-05.jfif,cattle,fleckvieh,high,
48,c5b176ce-43b9-461f-95dd-58aa5c641638.jfif,other-cattle/gir/gir-01.jfif,other-cattle,gir,medium-high,
49,c9e9fc86-8a5c-48e5-919d-3c8b86e54cd7.jfif,cattle/brahman/brahman-05.jfif,cattle,brahman,high,
50,cf5e8dd3-18f4-4b4a-9cbf-b8cc96d096be.jfif,cattle/jersey/jersey-02.jfif,cattle,jersey,high,
51,d2758753-d1e4-4228-ba6b-5f0aae3be24e.jfif,cattle/guernsey/guernsey-01.jfif,cattle,guernsey,medium,
52,dafb1af8-1bcd-44c2-9aa0-e5e566b10247.jfif,goats/boer/boer-05.jfif,goats,boer,high,
53,ded46964-6d11-486b-93d5-77b51b673442.jfif,cattle/sahiwal/sahiwal-10.jfif,cattle,sahiwal,high,
54,e06fb645-91a5-4dd0-ae2a-f8f98260d20b.jfif,cattle/fleckvieh/fleckvieh-06.jfif,cattle,fleckvieh,high,
55,e3757b98-c0ce-4bb5-ac83-4cfa81539f44.jfif,sheep/dorper/dorper-10.jfif,sheep,dorper,medium-high,
56,e6671664-d0cc-41e3-b855-eae85907de53.jfif,cattle/girolando/girolando-02.jfif,cattle,girolando,high,
57,ea5fee92-6a8e-4a73-95ee-41440eab4628.jfif,cattle/fleckvieh/fleckvieh-07.jfif,cattle,fleckvieh,high,
58,eb0ac07b-d339-45db-97ee-627dda1af8ba.jfif,cattle/friesian-holstein/friesian-holstein-03.jfif,cattle,friesian-holstein,high,
59,f63974ae-967e-4a8c-9b2b-0a35cb4f102a.jfif,sheep/red-maasai/red-maasai-06.jfif,sheep,red-maasai,high,
60,fc87c5fb-3020-4673-a566-650d27a9a977.jfif,sheep/red-maasai/red-maasai-07.jfif,sheep,red-maasai,high,
61,fe529f85-5241-40fe-b805-794359fa633b.jfif,cattle/fleckvieh/fleckvieh-08.jfif,cattle,fleckvieh,high,
